id,name,short,type,address,region,phone,phoneDisplay,hours,open,close,rating,reviews,lat,lng,geoExact,maps,facebook,tiktok,instagram,price,note,photo,email,priority,active
CN11,Boom Music Box Lê Văn Lương (CN9),Lê Văn Lương (CN9),Karaoke mini / Phòng thu âm,"327 Lê Văn Lương, P. Tân Hưng, TP.HCM (Quận 7 cũ)",TP.HCM,0337382836,0337 382 836,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.6,266,10.742,106.7,N,https://www.google.com/maps/search/Boom+Music+Box+L%C3%AA+V%C4%83n+L%C6%B0%C6%A1ng,,,,Từ 10-15k/giờ,CN9.,,,111,Y
CN12,Boom Music Box Âu Cơ (CN10),Âu Cơ (CN10),Karaoke mini / Chuyên gia về âm thanh,"630 Âu Cơ, P. Bảy Hiền, TP.HCM (Quận Tân Bình cũ)",TP.HCM,0934523853,0934 523 853,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.9,196,10.793,106.639,N,https://www.google.com/maps/search/Boom+Music+Box+%C3%82u+C%C6%A1,,,,Từ 10-15k/giờ,CN10.,,,112,Y
CN13,Boom Music Box Đà Lạt (CN11),Đà Lạt (CN11),Karaoke mini / Phòng thu âm,"180 Nguyễn Công Trứ, P. Lâm Viên - Đà Lạt, Lâm Đồng",Lâm Đồng,0936131903,0936 131 903,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.6,256,11.95,108.453,N,https://www.google.com/maps/search/Boom+Music+Box+%C4%90%C3%A0+L%E1%BA%A1t,,,,Từ 10-15k/giờ,CN11.,,,113,Y
CN14,Boom Music Box Trà Vinh (CN12),Trà Vinh (CN12),Karaoke mini / Sân chơi,"77 Đ. Nguyễn Đáng, P. Nguyệt Hóa, TP Trà Vinh",Trà Vinh,0369315816,0369 315 816,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.9,128,9.943,106.33,N,https://www.google.com/maps/search/Boom+Music+Box+Tr%C3%A0+Vinh,,,,Từ 10-15k/giờ,CN12.,,,114,Y
CN15,Boom Music Box Vĩnh Long (CN13),Vĩnh Long (CN13),Karaoke mini / Phòng thu âm,"79/39D Mậu Thân 2, Khóm 3, P.3, TP Vĩnh Long",Vĩnh Long,0372921183,0372 921 183,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,5.0,206,10.248,105.964,N,https://www.google.com/maps/search/Boom+Music+Box+V%C4%A9nh+Long,,,,Từ 10-15k/giờ,CN13.,,,115,Y
CN16,Boom Music Box Lê Trọng Tấn (CN14),Lê Trọng Tấn (CN14),Karaoke mini / Phòng thu âm,"192 Lê Trọng Tấn, P. Tây Thạnh, TP.HCM (Quận Tân Phú cũ)",TP.HCM,0934561829,0934 561 829,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.8,235,10.81,106.618,N,https://www.google.com/maps/search/Boom+Music+Box+L%C3%AA+Tr%E1%BB%8Dng+T%E1%BA%A5n,,,,Từ 10-15k/giờ,CN14.,,,116,Y
CN17,Boom Music Box Đồng Tháp (CN15),Đồng Tháp (CN15),Karaoke mini / Phòng thu âm,"77 Đường Trần Thị Nhượng, P.4, TP Cao Lãnh, Đồng Tháp",Đồng Tháp,0934605951,0934 605 951,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.8,193,10.459,105.636,N,https://www.google.com/maps/search/Boom+Music+Box+%C4%90%E1%BB%93ng+Th%C3%A1p,,,,Từ 10-15k/giờ,CN15.,,,117,Y
CN18,Boom Musicbox Lê Văn Sỹ (CN19),Lê Văn Sỹ (CN19),Karaoke mini / Phòng thu âm,"270 Đ. Lê Văn Sỹ, P. Nhiêu Lộc, TP.HCM (Quận 3 cũ)",TP.HCM,0777204861,0777 204 861,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.9,505,10.79,106.679,N,https://www.google.com/maps/search/Boom+Music+Box+L%C3%AA+V%C4%83n+S%E1%BB%B9,facebook.com/Boommusicboxlevansy,,,Từ 10-15k/giờ,CN19.,,,118,Y
CN19,Boom Music Box Tôn Đản,Tôn Đản,Karaoke mini / Chuyên gia về âm thanh,"25 Tôn Đản, P. Xóm Chiếu, TP.HCM (Quận 4 cũ)",TP.HCM,0902349452,0902 349 452,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.9,137,10.758,106.703,N,https://www.google.com/maps/search/Boom+Music+Box+T%C3%B4n+%C4%90%E1%BA%A3n,,,,Từ 10-15k/giờ,"Chi nhánh ngoài danh sách CN1-16 gốc, mở sau tháng 9/2025.",,,119,Y
CN20,Boom Music Box Dĩ An,Dĩ An,Karaoke mini / Chuyên gia về âm thanh,"21 Ngô Thì Nhậm, KP Nhị Đồng, Dĩ An, Bình Dương",Bình Dương,0776728179,0776 728 179,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.8,37,10.906,106.769,N,https://www.google.com/maps/search/Boom+Music+Box+D%C4%A9+An,,,,Từ 10-15k/giờ,"Chi nhánh mới, quy mô nhỏ (37 đánh giá).",,,120,Y
CN21,Boom Music Box Hậu Giang,Hậu Giang,Karaoke mini / Karaoke theo video,"105 Đ. Hậu Giang, P. Bình Tây, TP.HCM (Quận 6 cũ)",TP.HCM,0777710020,0777 710 020,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,5.0,100,10.748,106.644,N,https://www.google.com/maps/search/Boom+Music+Box+H%E1%BA%ADu+Giang+B%C3%ACnh+T%C3%A2y,,,,Từ 10-15k/giờ,Khai trương khoảng 2 tháng trước.,,,121,Y
CN22,Boom Music Box Thạch Lam,Thạch Lam,Karaoke mini / Cửa hàng âm nhạc,"158 Đ. Thạch Lam, P. Phú Thạnh, TP.HCM (Quận Tân Phú cũ)",TP.HCM,0778413872,0778 413 872,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.8,303,10.783,106.625,N,https://www.google.com/maps/search/Boom+Music+Box+Th%E1%BA%A1ch+Lam,facebook.com/Boommusicboxthachlam,,instagram.com/boommusicboxthach,Từ 15k/giờ,,,,122,Y
CN23,Boom Music Box Biên Hòa (CN30),Biên Hòa (CN30),Karaoke mini / Chuyên gia về âm thanh,"324 KP4, Đ. Đồng Khởi, TP Biên Hòa, Đồng Nai",Đồng Nai,0327199999,0327 199 999,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.7,51,10.96,106.86,N,https://www.google.com/maps/search/Boom+Music+Box+Bi%C3%AAn+H%C3%B2a,facebook.com/bienhoadongnai30,,,Từ 15k/giờ,"Chi nhánh thứ 30 của hệ thống, khai trương 8/7/2026.",,,123,Y
CN24,Boom Music Box Bình Dương,Bình Dương,Karaoke mini / Chuyên gia về âm thanh,"107 Thích Quảng Đức, TP Thủ Dầu Một, Bình Dương",Bình Dương,0961301073,0961 301 073,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.9,58,10.975,106.652,N,https://www.google.com/maps/search/Boom+Music+Box+B%C3%ACnh+D%C6%B0%C6%A1ng,,,,Từ 10-15k/giờ,,,,124,Y
CN25,Boom Musicbox Thủ Dầu 1,Thủ Dầu 1,Karaoke mini / Phòng thu âm,"134/26 Đ. 30 Tháng 4, TP Thủ Dầu Một, Bình Dương",Bình Dương,0778881679,0778 881 679,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.8,417,10.98,106.658,N,https://www.google.com/maps/search/Boom+Music+Box+Th%E1%BB%A7+D%E1%BA%A7u+M%E1%BB%99t,,,,Từ 10-15k/giờ,,,,125,Y
CN26,Boom Music Box Lê Hồng Phong | Thủ Dầu 1,Lê Hồng Phong | Thủ Dầu 1,Karaoke mini / Chuyên gia về âm thanh,"424/26 Lê Hồng Phong, Tổ 1 KP Phú Hòa 4, TP Thủ Dầu Một, Bình Dương",Bình Dương,0777789935,0777 789 935,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.9,28,10.969,106.662,N,https://www.google.com/maps/search/Boom+Music+Box+Th%E1%BB%A7+D%E1%BA%A7u+M%E1%BB%99t,,,,Từ 10-15k/giờ,"Chi nhánh mới, quy mô nhỏ (28 đánh giá).",,,126,Y
CN27,Boom Musicbox Mỹ Tho,Mỹ Tho,Karaoke mini / Phòng thu âm,"1A Lê Văn Phẩm, TP Mỹ Tho, Tiền Giang",Tiền Giang,0778879468,0778 879 468,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.7,182,10.362,106.362,N,https://www.google.com/maps/search/Boom+Music+Box+M%E1%BB%B9+Tho,,tiktok.com/@boom.musicbox.mytho,,Từ 10-15k/giờ,,,,127,Y
CN28,Boom Music Box Phạm Hùng,Phạm Hùng,Karaoke mini / Chuyên gia về âm thanh,"C3/3 Đ. Phạm Hùng, P. Bình Hưng, TP.HCM (Bình Chánh)",TP.HCM,0777912868,0777 912 868,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.9,181,10.737,106.679,N,https://www.google.com/maps/search/Boom+Music+Box+Ph%E1%BA%A1m+H%C3%B9ng,,,,Từ 10-15k/giờ,,,,128,Y
